 Correlated Gaussian Geminal Output:  H_2
 ===================================================
 Adamowicz Research /            [Univ. of AZ, CHEM]
 Programming:[D. Gilmore, L. Adamowicz, D. Kinghorn]
  PROGRAM BEGINS:  TIME STAMP...
      3/26/1996
      1:27:16:32 
 OUTPUT STREAM BEGINS...
  
 NUMBER OF FUNCTIONS=         32
 FUNCTION GENERATION=RANDOM                                                     
        
 OPTIMIZATION METHOD=IMSL:DUMING                                                
        
     OUTPUT FILENAME=24mar96_004_32.out                                         
        
  NEW RESTART OUTPUT=restart_24mar96_004_32.dat                                 
        
  
 GENERATING RANDOM GAUSSIAN GEMINAL DATA...
  
       T1                T2               T12              LinCoeff.
      --------------------------------------------------------------------------
 
     .64480489E+00     .37642303E+00     .31656936E-01     .12000946E+00     .64492406E+00    -.37621891E+00
     .97649002E+00     .14958888E+00     .80519575E-01     .60279489E+00     .97661047E+00    -.14880262E+00
     .51285964E+00     .24817456E+00     .63442850E-01     .49763033E+00     .51301709E+00    -.24784919E+00
     .11305419E+00     .23853014E+00     .88343732E-02     .44040459E+00     .11307526E+00    -.23852016E+00
     .77023160E+00     .85103810E+00     .45979413E-01     .72273779E+00     .77062291E+00    -.85068395E+00
     .27687049E+00     .81522924E+00     .92933005E-01     .69153947E+00     .27762811E+00    -.81497193E+00
     .30085546E+00     .59358460E+00     .92290968E-01     .77322042E+00     .30140328E+00    -.59330693E+00
     .12283815E+00     .52053303E+00     .64953941E-01     .91575742E+00     .12317626E+00    -.52045324E+00
     .52590227E+00     .82888550E+00     .13200454E-01     .99137557E+00     .52601169E+00    -.82881607E+00
     .69035053E+00     .91048145E+00     .84985328E-01     .26859713E+00     .69112431E+00    -.90989476E+00
     .45153835E+00     .20799364E+00     .61073314E-02     .69960706E-01     .45155106E+00    -.20796606E+00
     .73147893E-01     .92205471E+00     .50330281E-01     .93059415E+00     .73611966E-01    -.92201789E+00
     .71147072E+00     .40421486E+00     .85578299E-01     .50072366E+00     .71181664E+00    -.40360599E+00
     .43117335E+00     .16913418E+00     .27639169E-01     .70260620E+00     .43122010E+00    -.16901501E+00
     .50395256E+00     .29405829E+00     .48776066E-01     .69441426E+00     .50409599E+00    -.29381248E+00
     .70686162E-01     .91681749E-01     .56980252E-01     .93659508E+00     .70738402E-01    -.91641471E-01
     .38042873E+00     .67525899E+00     .42757136E-01     .29708427E+00     .38071745E+00    -.67509633E+00
     .55473858E+00     .78667152E+00     .42195880E-01     .37360102E+00     .55507052E+00    -.78643744E+00
     .94657667E-01     .22008763E+00     .85011512E-01     .90769327E+00     .94844767E-01    -.22000716E+00
     .26233479E+00     .16308497E+00     .27444872E-01     .91366547E+00     .26237955E+00    -.16301297E+00
     .54525828E+00     .16325003E+00     .24188800E-01     .17545906E+00     .54529777E+00    -.16311814E+00
     .58432871E+00     .13007703E+00     .94818532E-01     .85322148E+00     .58445205E+00    -.12952298E+00
     .85505980E+00     .59132016E+00     .61596614E-01     .30274075E+00     .85542404E+00    -.59079347E+00
     .59930730E+00     .16375099E+00     .42443830E-01     .60383346E-01     .59937680E+00    -.16349662E+00
     .76447034E+00     .74834931E+00     .57081372E-01     .74889416E+00     .76489751E+00    -.74791294E+00
     .87085301E+00     .94562513E+00     .27047339E-01     .21031760E-01     .87110877E+00    -.94538958E+00
     .22409444E+00     .26227978E+00     .50745171E-01     .20077710E+00     .22422753E+00    -.26216606E+00
     .71146286E+00     .22539511E-01     .47965338E-03     .53348535E+00     .71146296E+00    -.22536099E-01
     .87168860E+00     .28131473E+00     .34406605E-01     .41311184E+00     .87178540E+00    -.28101481E+00
     .32152116E+00     .14736894E+00     .64633369E-01     .17328520E+00     .32161641E+00    -.14716113E+00
     .64970338E+00     .83147496E+00     .12803040E-01     .15561105E+00     .64980984E+00    -.83139178E+00
     .50128299E+00     .43160266E+00     .89194798E-01     .22184114E+00     .50166796E+00    -.43115554E+00
  
  
 BEGINNING TIMING ROUTINE...Please Stand By...
 ---------------------------------------------
 :BEGIN:
      1:27:17:64 
 :FUNCTION CALCULATION IN PROGRESS:
      1:27:19:45 
 :GRADIENT CALCULATION IN PROGRESS:
      1:27:25:38 
 :END:
  
            UNOPTIMIZED ENERGY =  -8.582434215849438E-001
  
  UNOPTIMIZED ENERGY ROUTINE FINISHES:  TIME STAMP...
      3/26/1996
      1:27:25:43 
  
 IMSL:DUMING Optimization Begins...
 ----------------------------------
 ENERGY= -8.582434215849439E-001   --->   ||g||^2 =   4.371775981858095E-001
 ENERGY=      -1.026871186717762   --->   ||g||^2 =   6.733900136057637E-002
 ENERGY=      -1.056403238603578   --->   ||g||^2 =   2.067479049239522E-002
 ENERGY=      -1.081918240287085   --->   ||g||^2 =   8.815833788778890E-003
 ENERGY=      -1.096755340366446   --->   ||g||^2 =   8.790892816659731E-003
 ENERGY=      -1.102659900280276   --->   ||g||^2 =   5.792581749715369E-003
 ENERGY=      -1.117609127128384   --->   ||g||^2 =   4.187107449227139E-003
 ENERGY=      -1.126271361073298   --->   ||g||^2 =   5.912848688684334E-003
 ENERGY=      -1.132230646214007   --->   ||g||^2 =   4.716725063779529E-003
 ENERGY=      -1.143928606879749   --->   ||g||^2 =   2.453964203228378E-003
 ENERGY=      -1.147564181528219   --->   ||g||^2 =   1.765890837577811E-003
 ENERGY=      -1.151286984826349   --->   ||g||^2 =   9.481226893710969E-004
 ENERGY=      -1.153071901861779   --->   ||g||^2 =   6.507639737943670E-004
 ENERGY=      -1.154337232334585   --->   ||g||^2 =   5.931716683214564E-004
 ENERGY=      -1.155469952009647   --->   ||g||^2 =   5.897037083012621E-004
 ENERGY=      -1.156562496545338   --->   ||g||^2 =   5.314073600567340E-004
 ENERGY=      -1.157533847338743   --->   ||g||^2 =   3.961489807914673E-004
 ENERGY=      -1.158257961413875   --->   ||g||^2 =   2.657970444812868E-004
 ENERGY=      -1.158707693661205   --->   ||g||^2 =   2.229647628468623E-004
 ENERGY=      -1.159185414128315   --->   ||g||^2 =   2.299225734645645E-004
 ENERGY=      -1.159680055892171   --->   ||g||^2 =   2.293000028530032E-004
 ENERGY=      -1.160061767307925   --->   ||g||^2 =   1.658100617686269E-004
 ENERGY=      -1.160322244482362   --->   ||g||^2 =   1.044500524051554E-004
 ENERGY=      -1.160503815680760   --->   ||g||^2 =   1.063412371364914E-004
 ENERGY=      -1.160734793635589   --->   ||g||^2 =   1.624823492260258E-004
 ENERGY=      -1.161140427701709   --->   ||g||^2 =   2.789275521059528E-004
 ENERGY=      -1.161739092105872   --->   ||g||^2 =   3.507810302351687E-004
 ENERGY=      -1.162367181063680   --->   ||g||^2 =   2.344983234935546E-004
 ENERGY=      -1.162736915401322   --->   ||g||^2 =   1.388761326521274E-004
 ENERGY=      -1.162957026310647   --->   ||g||^2 =   1.280100484237255E-004
 ENERGY=      -1.163230987463855   --->   ||g||^2 =   1.247613618469126E-004
 ENERGY=      -1.163468926332030   --->   ||g||^2 =   9.255138648976408E-005
 ENERGY=      -1.163625284594906   --->   ||g||^2 =   6.539069350400351E-005
 ENERGY=      -1.163738738552368   --->   ||g||^2 =   6.647294729611335E-005
 ENERGY=      -1.163902720700621   --->   ||g||^2 =   9.019003202731339E-005
 ENERGY=      -1.164171875560760   --->   ||g||^2 =   1.242061179825569E-004
 ENERGY=      -1.164478644963130   --->   ||g||^2 =   1.151934138708759E-004
 ENERGY=      -1.164680648758904   --->   ||g||^2 =   7.589754334072179E-005
 ENERGY=      -1.164807494163775   --->   ||g||^2 =   5.901690503527631E-005
 ENERGY=      -1.164922299253999   --->   ||g||^2 =   5.995233919681645E-005
 ENERGY=      -1.165066121841447   --->   ||g||^2 =   6.350038753562017E-005
 ENERGY=      -1.165244707575863   --->   ||g||^2 =   5.616997680885873E-005
 ENERGY=      -1.165376103181990   --->   ||g||^2 =   4.136019435925739E-005
 ENERGY=      -1.165463273461611   --->   ||g||^2 =   3.527846130398867E-005
 ENERGY=      -1.165535298743258   --->   ||g||^2 =   3.399897129615583E-005
 ENERGY=      -1.165618827037614   --->   ||g||^2 =   3.228415356420280E-005
 ENERGY=      -1.165731016358824   --->   ||g||^2 =   2.959359991136791E-005
 ENERGY=      -1.165837594875706   --->   ||g||^2 =   2.696239933433112E-005
 ENERGY=      -1.165907974087209   --->   ||g||^2 =   2.569685559871206E-005
 ENERGY=      -1.165961487101095   --->   ||g||^2 =   2.489260550151701E-005
 ENERGY=      -1.166018713739853   --->   ||g||^2 =   2.529116991573655E-005
 ENERGY=      -1.166092012865316   --->   ||g||^2 =   2.996559094375218E-005
 ENERGY=      -1.166179976943198   --->   ||g||^2 =   2.528094611103281E-005
 ENERGY=      -1.166261771583411   --->   ||g||^2 =   1.942924472256199E-005
 ENERGY=      -1.166305819229417   --->   ||g||^2 =   1.356099418758943E-005
 ENERGY=      -1.166335796167120   --->   ||g||^2 =   1.187635897469702E-005
 ENERGY=      -1.166376850862594   --->   ||g||^2 =   1.300446827945595E-005
